,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
183,8,1,294,675,279.5519999999999,16317.559999999998,19526.608,294.0,675.0,125.0,-8822300284187936611,15927.027839999997,18384.3788
184,8,1,58,675,18649.344,3644.56,8209.300000000001,58.0,675.0,116.0,-8822300284177451170,3480.374,7954.180800000001
185,8,1,645,656,235.14400000000006,16376.0,19513.144,645.0,656.0,40.0,-8822300284126189014,15985.73712,18366.824
186,8,1,530,655,282.3519999999999,16268.879999999997,19462.688000000006,530.0,655.0,64.0,-8822300284228713326,15879.626239999998,18323.866400000006
187,8,1,292,654,20714.68,4079.48,9151.032000000001,292.0,654.0,125.0,-8822300284187936611,3896.45936,8865.468400000002
188,8,1,412,653,20809.264,4163.160000000001,9334.836000000001,412.0,653.0,145.0,-8822300283987548183,3976.463280000001,9043.4148
190,8,1,235,653,254.128,16019.48,19096.031999999996,235.0,653.0,240.0,-8822300284023664702,15637.55936,17974.668399999995
191,8,1,499,653,15247.176,5973.040000000001,5496.779999999999,499.0,653.0,263.0,-8822300284460558077,5863.104400000001,5078.667199999999
194,8,1,234,677,262.248,15321.720000000001,18221.008,234.0,677.0,240.0,-8822300284023664702,14957.299840000001,17148.4876
195,8,1,439,630,21764.735999999997,4229.72,9661.575999999997,439.0,630.0,104.0,-8822300284200752150,4036.4884800000004,9365.495599999997
196,8,1,205,627,281.06399999999996,15976.080000000002,18882.443999999996,205.0,627.0,11.0,-8822300284166965729,15598.431120000001,17764.118399999996
198,8,1,761,623,246.17599999999996,16025.039999999997,18822.059999999998,761.0,623.0,169.0,-8822300283978227791,15648.598799999998,17700.3072
199,8,1,235,623,20034.224,3999.3600000000006,8749.831999999999,235.0,623.0,235.0,-8822300284055121025,3824.3633600000007,8469.876799999998
200,8,1,114,603,1408.0079999999998,1374.9999999999998,21751.839999999997,114.0,603.0,49.0,-8822300284099392887,939.9631999999999,21655.589999999997
201,8,1,176,601,16328.703999999998,6340.56,5757.151999999999,176.0,601.0,196.0,-8822300284084247250,6225.4169600000005,5313.312799999999
203,8,1,762,600,232.28799999999998,15928.12,18884.280000000002,762.0,600.0,169.0,-8822300283978227791,15550.4344,17769.3116
204,8,1,558,600,17232.712,6629.68,6124.283999999999,558.0,600.0,265.0,-8822300284462888175,6507.1943200000005,5660.206399999999
205,8,1,848,755,18820.311999999998,3701.2799999999997,8295.592,848.0,755.0,79.0,-8822300284246189061,3535.3681599999995,8036.5024
206,8,1,324,600,265.38399999999996,15674.679999999998,18667.02,324.0,600.0,55.0,-8822300284106383181,15301.3396,17569.792400000002
207,8,1,175,677,273.56,15828.6,18845.315999999995,175.0,677.0,160.0,-8822300283967742350,15451.69368,17737.313999999995
208,8,1,352,605,1439.0879999999997,1400.72,22302.163999999993,352.0,605.0,75.0,-8822300284241528865,954.6767200000002,22204.113599999993
209,8,1,529,679,17235.176,6530.2,6012.696000000001,529.0,679.0,64.0,-8822300284228713326,6409.94608,5555.582
210,8,1,645,707,17701.376,6555.92,6012.355999999999,645.0,707.0,261.0,-8822300284458227979,6435.67288,5553.441599999999
211,8,1,497,754,20451.76,4040.4399999999996,8862.576,497.0,754.0,219.0,-8822300284073761809,3863.18848,8579.7452
212,8,1,646,678,22080.352,4277.44,9565.967999999999,646.0,678.0,40.0,-8822300284126189014,4086.1206399999996,9266.547199999999
214,8,1,323,752,21249.536000000004,4094.52,9181.224000000002,323.0,752.0,109.0,-8822300284206577395,3910.89552,8894.607600000001
215,8,1,380,734,24018.064,4605.120000000001,10574.748000000003,380.0,734.0,126.0,-8822300284189101660,4393.625040000001,10252.389600000002
216,8,1,848,732,16406.319999999996,6092.400000000001,5503.987999999999,848.0,732.0,79.0,-8822300284246189061,5982.320240000001,5077.5199999999995
217,8,1,322,731,16973.935999999998,3480.2400000000002,7736.700000000001,322.0,731.0,109.0,-8822300284206577395,3325.5060000000003,7493.083200000001
218,8,1,468,730,17516.744,6513.04,6000.8640000000005,468.0,730.0,118.0,-8822300284179781268,6393.02272,5544.9512
219,8,1,87,729,230.88799999999998,13853.880000000001,16780.156,87.0,729.0,101.0,-8822300284197257003,13518.276880000001,15810.384399999999
220,8,1,350,728,18293.296000000002,6887.440000000001,6473.804000000001,350.0,728.0,123.0,-8822300284185606513,6757.963920000001,5991.683200000001
221,8,1,291,728,22383.088000000003,4316.08,9663.548,291.0,728.0,81.0,-8822300284211237591,4122.80904,9361.422400000001
