,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B,PlaneX,PlaneY,Cluster,Label,Barcode
147,8,1,757,758,21385.896,4041.44,9162.320000000003,757.0,758.0,12.0,-8822300284168130778,3858.1936,8879.419200000002,-0.5136547505337434,-0.47957173735896685,2,PAO1_OD04_2,"[15, 5, 30]"
150,8,1,144,857,17510.584,3341.72,7670.876,144.0,857.0,50.0,-8822300284100557936,3188.3024800000003,7436.9556,-0.5090404431215091,-0.4713536151607516,2,PAO1_OD04_2,"[15, 5, 30]"
151,8,1,618,860,212.744,14002.16,16433.492000000002,618.0,860.0,152.0,-8822300283995703526,13673.49016,15453.340800000002,0.45879145074022565,0.05341272469476843,0,LB3,"[30, 20, 0]"
152,8,1,351,912,246.792,13663.64,16380.383999999998,351.0,912.0,130.0,-8822300284007354016,13336.032320000002,15423.9292,0.45124802784203477,0.06347159390762447,0,LB3,"[30, 20, 0]"
153,8,1,27,597,18954.991999999995,3728.64,8205.492,27.0,597.0,89.0,-8822300284220557983,3564.5301600000003,7944.4872,-0.5052014545468219,-0.47843456151038927,2,PAO1_OD04_2,"[15, 5, 30]"
155,8,1,789,965,15448.44,2854.48,6430.419999999999,789.0,965.0,65.0,-8822300284229878375,2725.8716,6230.606399999999,-0.5213116634933992,-0.48939747308308934,2,PAO1_OD04_2,"[15, 5, 30]"
157,8,1,381,961,232.064,12418.48,15210.716,381.0,961.0,25.0,-8822300284145994847,12114.265680000002,14341.4224,0.4452305178938099,0.07475686652137087,0,LB3,"[30, 20, 0]"
158,8,1,142,938,16643.032000000007,3148.0000000000005,7151.763999999997,142.0,938.0,53.0,-8822300284104053083,3004.9647200000004,6931.403999999999,-0.5131066506604067,-0.47843790211685416,2,PAO1_OD04_2,"[15, 5, 30]"
160,8,1,408,936,16297.344,5903.080000000003,5521.191999999999,408.0,936.0,15.0,-8822300284171625925,5792.656160000001,5107.9764,-0.38623049096414097,-0.6243855575997306,7,PAO1_OD04_1,"[10, 10, 30]"
161,8,1,411,914,248.08,14754.64,17649.059999999998,411.0,914.0,15.0,-8822300284171625925,14401.6588,16616.2352,0.4526831244726296,0.06289573451318031,0,LB3,"[30, 20, 0]"
164,8,1,468,860,17044.216,6036.840000000001,5547.371999999999,468.0,860.0,38.0,-8822300284123858916,5925.892560000001,5124.7932,-0.39574167352418604,-0.6351798455265358,7,PAO1_OD04_1,"[10, 10, 30]"
166,8,1,555,910,15982.848,5817.6799999999985,5327.12,555.0,910.0,93.0,-8822300284225218179,5711.137599999999,4919.8824,-0.3859533082526748,-0.6302767865234771,7,PAO1_OD04_1,"[10, 10, 30]"
167,8,1,262,909,16250.696000000002,5855.240000000002,5438.980000000001,262.0,909.0,172.0,-8822300283981722938,5746.460400000001,5029.113200000002,-0.3886676095320235,-0.6278351933557266,7,PAO1_OD04_1,"[10, 10, 30]"
168,8,1,203,908,16251.424,3145.320000000001,7048.200000000003,203.0,908.0,18.0,-8822300284137839504,3004.356000000001,6828.027600000001,-0.5078655771099921,-0.4764546875433938,2,PAO1_OD04_2,"[15, 5, 30]"
169,8,1,557,886,17356.696,6260.6799999999985,5776.1240000000025,557.0,886.0,93.0,-8822300284225218179,6145.157520000001,5337.876400000002,-0.3887532411399225,-0.6298247996907731,7,PAO1_OD04_1,"[10, 10, 30]"
171,8,1,84,884,10362.351999999997,3291.0799999999995,6383.0920000000015,84.0,884.0,136.0,-8822300284014344310,3163.4181599999993,6152.7164,-0.36582761677583,-0.37467585413743315,5,LB1,"[20, 5, 25]"
172,8,1,470,882,259.84,15237.44,18200.812,470.0,882.0,38.0,-8822300284123858916,14873.42376,17134.191199999994,0.4528892587939015,0.06201069909233381,0,LB3,"[30, 20, 0]"
173,8,1,174,880,17728.311999999998,3366.9999999999995,7809.052000000002,174.0,880.0,87.0,-8822300284218227885,3210.81896,7573.362000000003,-0.5091625295748954,-0.4687688648884807,2,PAO1_OD04_2,"[15, 5, 30]"
